4.198640020772384851e+00,-6.231253326321489761e-01,2.743836314999970050e-01,9.146118499711107085e-04,2.693798096023749533e-01,0.000000000000000000e+00
5.105784019842019461e+00,-4.647310459408395822e-01,2.612181512350612578e-01,8.810047180907566809e-04,2.638560161737007470e-01,4.792322873263264553e-03
5.619541558157283845e+00,-4.773555280130151734e-01,2.539592829607916769e-01,8.644576009359897792e-04,2.605078189027966729e-01,8.358936332414929754e-03
6.674655070143440838e+00,-4.332795268192606297e-01,2.523834124511503685e-01,8.643543900957300361e-04,2.592511840424631675e-01,1.076012116828326849e-02
7.443423249381988072e+00,-4.124878043295647223e-01,2.562669254800225005e-01,8.800789771587508997e-04,2.600020778454610326e-01,1.205615817174778177e-02
6.983378971600133767e+00,-4.650937224269657277e-01,2.653862078212751996e-01,9.110152537136969068e-04,2.626764665645558994e-01,1.230732813365610114e-02
5.049135667917462378e+00,-6.872911048575375270e-01,2.795176452488143393e-01,9.565471113493824885e-04,2.671903164525188945e-01,1.157391184487454282e-02
3.775182583910376088e+00,-1.373532465936445623e+00,2.984376235365408525e-01,1.016058441654588140e-03,2.734595937621225326e-01,9.916190096261557826e-03
4.011664102264629328e+00,-1.631483978219169906e+00,3.219225284584652513e-01,1.088933136218433496e-03,2.814002647461762985e-01,7.394443678663132312e-03
3.434166347576855571e+00,-1.699588080228941589e+00,3.497487457884147499e-01,1.174555086629465840e-03,2.909282956574282264e-01,4.068953382943632686e-03
1.799371543290316566e+00,-1.773801159763600976e+00,3.816926613001427881e-01,1.272308184476016700e-03,3.019596527485995385e-01,-1.885452730006694472e-14
9.907558952680000086e-01,-1.931352382410554513e+00,4.175306607678207493e-01,1.381576321347695226e-03,3.144103022725558416e-01,-4.752135679399991340e-03
5.624851112122493113e-01,-2.277647079365907601e+00,4.570391299650428674e-01,1.501743388832346791e-03,3.281962104819627912e-01,-1.012717286430056367e-02
3.945918091300294472e-01,-2.892436312848881030e+00,4.999944546658548483e-01,1.632193278519194785e-03,3.432333436296430285e-01,-1.606483076388096065e-02
3.826337457202396153e-01,-3.094315396380261873e+00,5.461730206441574031e-01,1.772309881997019164e-03,3.594376679683686238e-01,-2.250482858728272695e-02
